Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,yearID,teamID
PHI,2166,6293,186,847,795,135,9.1%,12.8%,.169,.294,.279,.346,.448,.347,,110,4.1,77.0,95.8,38.4,1977,
NYY,1724,6261,184,831,784,93,8.5%,10.9%,.163,.291,.281,.344,.444,.347,,117,0.2,123.5,27.7,37.0,1977,
CIN,2096,6265,181,802,750,170,9.6%,14.5%,.162,.297,.274,.345,.436,.344,,108,12.7,69.9,34.6,31.5,1977,
KCR,1836,6268,146,822,773,170,8.3%,11.0%,.159,.291,.277,.340,.436,.341,,109,2.4,69.1,10.7,29.7,1977,
TEX,1775,6342,135,767,704,154,9.4%,14.3%,.135,.299,.270,.342,.405,.333,,104,1.2,33.6,41.0,29.3,1977,
BOS,1590,6184,213,859,828,66,8.5%,14.6%,.183,.301,.281,.345,.465,.355,,111,-1.2,78.0,-0.5,29.2,1977,
LAD,2176,6328,191,769,729,114,9.3%,14.2%,.152,.284,.265,.335,.418,.332,,104,2.3,29.6,50.6,29.1,1977,
PIT,2148,6263,133,734,678,260,7.6%,14.0%,.140,.302,.274,.331,.413,.327,,97,7.7,-14.9,81.7,27.5,1977,
BAL,1894,6173,148,719,677,90,9.1%,15.3%,.132,.289,.261,.329,.393,.321,,103,2.0,26.8,24.2,26.4,1977,
HOU,2056,6201,114,680,638,187,8.3%,13.5%,.131,.280,.254,.320,.385,.313,,96,12.5,-20.2,56.2,24.2,1977,
MIN,1828,6382,123,867,804,105,8.8%,11.8%,.135,.304,.282,.348,.417,.339,,106,-0.4,48.6,-32.0,23.7,1977,
MON,2134,6282,138,665,622,88,7.6%,14.0%,.142,.284,.260,.318,.402,.317,,92,1.5,-58.8,61.7,21.0,1977,
STL,2228,6136,96,737,686,134,8.0%,13.4%,.118,.301,.270,.330,.388,.318,,91,-14.2,-80.3,68.7,19.0,1977,
CHW,1706,6322,192,844,809,42,8.8%,10.5%,.166,.284,.278,.344,.444,.346,,112,-4.2,86.8,-116.7,19.0,1977,
SDP,2314,6356,120,692,652,133,9.5%,16.6%,.125,.287,.249,.324,.375,.312,,93,8.1,-45.4,5.9,17.0,1977,
CAL,1864,6113,131,675,636,158,8.9%,14.4%,.130,.281,.255,.324,.386,.316,,98,-0.1,-15.2,-47.7,14.7,1977,
CLE,1728,6204,100,676,631,87,8.6%,11.1%,.112,.289,.269,.334,.380,.320,,96,-13.1,-40.8,-27.8,14.3,1977,
DET,1678,6177,166,714,676,60,7.3%,12.4%,.146,.278,.264,.318,.410,.322,,94,-2.2,-44.2,-32.3,13.5,1977,
SFG,2185,6218,134,673,624,90,9.1%,13.5%,.129,.275,.253,.323,.383,.313,,90,-1.4,-78.5,8.3,13.4,1977,
MIL,1779,6088,125,639,598,85,7.3%,14.2%,.131,.284,.258,.314,.389,.312,,90,-5.9,-74.5,-25.1,10.7,1977,
SEA,1678,6049,133,624,589,110,7.0%,12.7%,.125,.275,.256,.312,.381,.309,,87,-0.9,-94.8,-14.0,9.6,1977,
NYM,2141,6071,88,587,525,98,8.7%,14.6%,.102,.275,.244,.313,.346,.296,,82,-8.9,-143.4,30.3,8.5,1977,
CHC,2198,6286,111,692,649,64,8.5%,12.7%,.121,.290,.266,.330,.387,.318,,83,-0.8,-134.6,-11.8,5.9,1977,
OAK,2009,6021,117,605,548,176,8.6%,15.1%,.112,.267,.240,.308,.352,.297,,84,3.4,-107.8,-40.3,5.6,1977,
TOR,1668,6058,100,605,552,65,8.2%,13.5%,.113,.279,.252,.316,.365,.305,,82,-4.9,-131.2,-54.2,1.9,1977,
ATL,2174,6206,139,678,638,82,8.7%,14.1%,.122,.278,.254,.320,.376,.310,,79,-0.6,-162.7,-105.2,-6.6,1977,
MIL,1632,6227,173,804,762,95,8.4%,12.9%,.155,.294,.276,.339,.432,.347,,117,-0.6,121.0,3.1,34.7,1978,
LAD,2045,6225,149,727,686,137,9.8%,13.1%,.138,.285,.264,.338,.402,.333,,108,8.2,64.4,44.1,33.4,1978,
PHI,2111,6154,133,708,661,152,9.0%,14.1%,.131,.283,.258,.328,.388,.322,,98,8.9,-6.8,110.4,32.0,1978,
NYY,1775,6220,125,735,693,98,8.1%,11.2%,.122,.283,.267,.329,.388,.325,,104,4.2,34.1,28.2,27.8,1978,
BAL,1895,6081,154,659,612,75,9.1%,14.2%,.138,.280,.258,.326,.396,.327,,108,-7.7,47.6,17.7,27.7,1978,
KCR,1838,6129,98,743,695,216,8.1%,10.5%,.131,.285,.268,.329,.399,.327,,103,11.8,30.9,34.2,27.7,1978,
MON,2104,6064,121,633,589,80,6.5%,14.5%,.125,.281,.254,.306,.379,.308,,91,0.5,-58.3,109.0,26.0,1978,
CIN,2245,6194,136,710,669,137,10.3%,14.5%,.138,.282,.256,.334,.393,.328,,103,5.9,23.9,3.7,24.8,1978,
BOS,1600,6316,172,796,738,74,9.2%,13.2%,.157,.285,.267,.336,.424,.342,,106,-4.0,36.4,-9.8,24.5,1978,
DET,1672,6299,129,714,666,90,8.9%,11.0%,.120,.288,.271,.339,.392,.332,,103,4.2,27.8,-0.6,24.5,1978,
TEX,1764,6141,132,692,650,196,10.2%,12.7%,.128,.272,.253,.332,.381,.324,,101,5.1,10.3,-2.3,21.8,1978,
MIN,1812,6326,82,666,621,99,9.5%,10.8%,.108,.289,.267,.339,.375,.325,,100,-0.9,-2.3,-15.5,19.8,1978,
PIT,2037,6040,115,684,631,213,7.9%,14.5%,.128,.286,.257,.320,.385,.316,,94,8.8,-33.3,3.6,18.1,1978,
SFG,2090,6103,117,613,576,87,9.1%,13.3%,.125,.271,.248,.318,.374,.312,,95,-2.6,-36.8,3.2,17.9,1978,
CAL,1706,6206,108,691,646,86,8.7%,11.0%,.111,.276,.259,.330,.370,.319,,102,-8.5,4.3,-45.7,17.1,1978,
HOU,2110,6035,70,605,557,178,7.2%,12.3%,.097,.285,.258,.313,.355,.301,,93,13.7,-33.0,-6.9,17.1,1978,
SDP,2160,6081,75,591,542,152,8.8%,13.9%,.096,.285,.252,.321,.348,.303,,93,4.3,-41.3,-3.4,16.7,1978,
NYM,2074,6132,86,607,561,100,9.0%,13.5%,.107,.272,.245,.314,.352,.302,,90,-8.8,-75.7,12.6,14.7,1978,
CLE,1790,6013,106,639,596,64,8.1%,11.6%,.118,.281,.261,.323,.379,.319,,97,-10.6,-28.4,-40.4,13.4,1978,
CHW,1790,5956,106,634,595,83,6.9%,10.5%,.115,.279,.264,.317,.379,.315,,95,-8.7,-42.1,-29.5,12.8,1978,
CHC,2298,6258,72,664,612,110,9.0%,11.9%,.097,.291,.264,.331,.361,.314,,85,0.9,-107.1,17.0,12.2,1978,
STL,2056,5966,79,600,568,97,7.0%,12.0%,.109,.272,.249,.303,.358,.298,,83,3.9,-109.9,17.3,10.9,1978,
SEA,1724,6031,97,614,571,123,8.7%,11.6%,.111,.267,.248,.314,.359,.307,,88,7.3,-72.9,-58.0,6.9,1978,
ATL,2093,6066,123,600,558,90,9.1%,14.4%,.119,.269,.244,.315,.363,.308,,81,-6.2,-137.6,-20.3,4.5,1978,
TOR,1721,6015,98,590,551,28,7.4%,10.7%,.108,.267,.250,.308,.359,.304,,84,-13.6,-121.8,-36.2,3.7,1978,
OAK,2132,5914,100,532,492,144,7.3%,13.5%,.106,.271,.245,.303,.351,.298,,87,-15.3,-98.2,-64.3,3.1,1978,
BAL,1817,6106,181,757,717,99,10.0%,13.9%,.158,.277,.261,.336,.419,.336,,108,1.9,59.3,54.0,32.1,1979,
MIL,1579,6227,185,807,766,100,8.8%,12.0%,.168,.294,.280,.345,.448,.350,,114,0.5,107.2,-15.4,30.5,1979,
