Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,yearID,teamID
CHC,81,81,44,481,162,1468.0,5.78,3.00,0.78,.294,69.4%,,,,4.02,,3.63,,24.6,1977,
LAD,98,64,39,400,162,1475.1,5.67,2.67,0.73,.277,75.5%,,,,3.22,,3.48,,23.1,1977,
KCR,102,60,42,381,162,1460.2,5.24,3.07,0.68,.273,71.7%,,,,3.55,,3.65,,20.7,1977,
TEX,94,68,31,362,162,1472.1,5.28,2.88,0.82,.274,72.8%,,,,3.56,,3.77,,18.9,1977,
CLE,71,90,30,391,161,1452.1,5.43,3.41,0.84,.282,70.0%,,,,4.09,,3.94,,18.5,1977,
BOS,97,64,40,370,161,1428.0,4.78,2.38,1.00,.294,71.7%,,,,4.16,,3.96,,18.2,1977,
NYM,64,98,28,410,162,1433.2,5.72,3.08,0.74,.279,71.3%,,,,3.78,,3.63,,17.6,1977,
PHI,101,61,47,408,162,1455.2,5.29,2.98,0.83,.284,72.8%,,,,3.71,,3.80,,17.5,1977,
PIT,96,66,39,440,162,1481.2,5.41,2.95,0.91,.269,73.2%,,,,3.61,,3.87,,16.8,1977,
DET,74,88,23,360,162,1457.0,4.84,2.90,1.00,.284,70.8%,,,,4.13,,4.12,,16.1,1977,
NYY,100,62,34,316,162,1449.1,4.71,3.02,0.86,.268,73.3%,,,,3.63,,3.99,,16.1,1977,
BAL,97,64,23,330,161,1451.0,4.57,3.06,0.77,.275,72.8%,,,,3.75,,3.92,,15.2,1977,
SFG,75,87,33,474,162,1459.0,5.27,3.26,0.70,.292,70.9%,,,,3.76,,3.73,,15.0,1977,
HOU,81,81,28,396,162,1465.2,5.35,3.35,0.68,.274,72.4%,,,,3.54,,3.69,,14.7,1977,
CAL,74,88,26,347,162,1437.2,6.04,3.58,0.85,.282,72.1%,,,,3.76,,3.92,,14.7,1977,
CHW,90,72,40,383,162,1444.2,5.25,3.21,0.85,.297,69.8%,,,,4.25,,3.95,,14.3,1977,
OAK,63,98,26,410,161,1436.2,4.94,3.51,0.91,.280,70.3%,,,,4.05,,4.17,,11.7,1977,
MIN,84,77,25,403,161,1442.0,4.60,3.16,0.94,.291,69.9%,,,,4.38,,4.21,,11.0,1977,
MON,75,87,33,469,162,1481.0,5.20,3.52,0.82,.272,70.3%,,,,4.01,,3.99,,10.8,1977,
MIL,67,95,25,377,162,1431.0,4.52,3.56,0.86,.280,69.3%,,,,4.32,,4.23,,10.3,1977,
TOR,54,107,20,348,161,1428.1,4.86,3.93,0.96,.293,69.0%,,,,4.58,,4.39,,10.1,1977,
CIN,88,74,32,423,162,1437.1,5.44,3.41,0.98,.286,72.3%,,,,4.21,,4.14,,10.0,1977,
ATL,61,101,31,489,162,1445.1,5.70,4.37,1.05,.300,68.5%,,,,4.87,,4.53,,9.5,1977,
STL,83,79,31,467,162,1446.0,4.78,3.31,0.87,.275,72.3%,,,,3.81,,4.08,,8.2,1977,
SEA,64,98,31,442,162,1433.0,4.93,3.63,1.22,.282,68.9%,,,,4.84,,4.74,,6.8,1977,
SDP,69,93,44,544,162,1466.1,5.08,4.13,0.98,.291,70.0%,,,,4.45,,4.46,,1.7,1977,
TEX,87,75,25,332,162,1456.1,4.80,2.60,0.67,.278,72.1%,,,,3.43,,3.40,,21.2,1978,
NYY,100,63,36,351,163,1460.2,5.03,2.95,0.68,.262,74.5%,,,,3.18,,3.50,,20.2,1978,
SFG,89,73,29,401,162,1455.0,5.20,2.80,0.52,.276,72.5%,,,,3.30,,3.16,,19.3,1978,
LAD,95,67,38,360,162,1440.1,5.00,2.75,0.67,.271,74.7%,,,,3.12,,3.40,,18.1,1978,
SDP,84,78,55,427,162,1433.2,4.67,3.03,0.46,.279,72.2%,,,,3.28,,3.25,,17.6,1978,
PIT,88,73,44,433,161,1444.2,5.48,3.11,0.64,.273,71.9%,,,,3.42,,3.40,,17.6,1978,
PHI,90,72,29,396,162,1436.1,5.09,2.46,0.74,.270,73.6%,,,,3.33,,3.39,,17.5,1978,
BOS,99,64,26,341,163,1472.2,4.31,2.84,0.84,.282,74.7%,,,,3.54,,3.85,,17.4,1978,
MIN,73,89,26,338,162,1459.2,4.33,3.21,0.63,.282,71.5%,,,,3.71,,3.67,,17.4,1978,
BAL,90,71,33,322,161,1429.0,4.75,3.21,0.67,.270,71.8%,,,,3.56,,3.60,,16.8,1978,
CLE,69,90,28,373,159,1407.1,4.73,3.63,0.64,.280,70.1%,,,,3.99,,3.73,,15.9,1978,
DET,86,76,21,319,162,1455.2,4.23,3.11,0.83,.273,74.1%,,,,3.67,,3.96,,14.9,1978,
MIL,93,69,24,335,162,1436.0,3.62,2.49,0.68,.270,71.2%,,,,3.65,,3.69,,14.8,1978,
KCR,92,70,33,370,162,1439.0,4.11,2.99,0.68,.261,71.8%,,,,3.44,,3.71,,14.8,1978,
HOU,74,88,23,380,162,1440.1,5.81,3.61,0.54,.275,71.7%,,,,3.63,,3.34,,14.5,1978,
OAK,69,93,29,433,162,1433.1,4.71,3.65,0.67,.275,70.9%,,,,3.62,,3.77,,13.4,1978,
CHC,79,83,38,489,162,1455.1,4.75,3.33,0.77,.281,70.7%,,,,4.06,,3.83,,13.2,1978,
CAL,87,75,33,355,162,1455.2,5.51,3.70,0.77,.275,73.3%,,,,3.67,,3.78,,13.0,1978,
CIN,92,69,46,460,161,1448.0,5.64,3.52,0.76,.285,72.1%,,,,3.82,,3.64,,12.5,1978,
ATL,69,93,32,455,162,1440.1,5.30,3.90,0.82,.276,70.0%,,,,4.10,,3.99,,12.0,1978,
STL,69,93,22,420,162,1437.2,5.38,3.76,0.59,.270,70.8%,,,,3.59,,3.56,,11.9,1978,
NYM,66,96,26,432,162,1455.1,4.79,3.28,0.70,.283,71.3%,,,,3.87,,3.69,,10.2,1978,
TOR,59,102,23,374,161,1429.1,4.77,3.87,0.94,.293,71.0%,,,,4.54,,4.21,,8.3,1978,
SEA,56,104,20,409,160,1419.1,3.99,3.60,0.98,.286,68.0%,,,,4.72,,4.40,,7.0,1978,
